,DateTime,CoolantFlow,ProgramStatus,ProgramDetail,ToolNumber,PocketTable,DriveStatus,DoorStatusMain,DoorStatusTooling,CabinDoorLockFront,CabinDoorLockSide,DNCMode,SpindleCleaning,ChipCleaningGunStatus,OverrideSpindle,OverrideFeed,FeedRate,SpindleSpeed,SpindleApproval,RapidTraverseKey,Warmup,Phase,Phase_compressed,Production
0,2021-12-07 07:39:13,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,1999.0,0.0,0.0,0,20.0,4.0,0.0
1,2021-12-07 07:39:14,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,1999.0,0.0,0.0,0,20.0,4.0,0.0
2,2021-12-07 07:39:16,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,2000.0,0.0,0.0,0,20.0,4.0,0.0
3,2021-12-07 07:39:18,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,1999.0,0.0,0.0,0,20.0,4.0,0.0
4,2021-12-07 07:39:20,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,2000.0,0.0,0.0,0,20.0,4.0,0.0
5,2021-12-07 07:39:22,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,2000.0,0.0,0.0,0,20.0,4.0,0.0
6,2021-12-07 07:39:24,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,1999.5,0.0,0.0,0,7.0,1.0,0.0
12101,2021-12-07 07:39:25,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,1999.0,0.0,0.0,0,7.0,1.0,0.0
7,2021-12-07 07:39:26,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,1999.5,0.0,0.0,0,7.0,1.0,0.0
12102,2021-12-07 07:39:27,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,45.0,3600.0,2000.0,0.0,0.0,0,7.0,1.0,0.0
