,DateTime,CoolantFlow,ProgramStatus,ProgramDetail,ToolNumber,PocketTable,DriveStatus,DoorStatusMain,DoorStatusTooling,CabinDoorLockFront,CabinDoorLockSide,DNCMode,SpindleCleaning,ChipCleaningGunStatus,OverrideSpindle,OverrideFeed,FeedRate,SpindleSpeed,SpindleApproval,RapidTraverseKey,Warmup,Production
0,2022-02-22 11:45:01,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,215.0,10000.0,0.0,0.0,0,1
1,2022-02-22 11:45:02,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,215.0,9998.0,0.0,0.0,0,1
2,2022-02-22 11:45:03,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,215.0,9999.0,0.0,0.0,0,1
19262,2022-02-22 11:45:04,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,215.0,10000.0,0.0,0.0,0,1
3,2022-02-22 11:45:05,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,3192.0,10000.0,0.0,0.0,0,1
19647,2022-02-22 11:45:06,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,2150.0,9999.0,0.0,0.0,0,1
4,2022-02-22 11:45:08,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,1108.0,9998.0,0.0,0.0,0,1
5,2022-02-22 11:45:10,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,3597.0,10000.0,0.0,0.0,0,1
6,2022-02-22 11:45:12,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,4138.0,9998.0,0.0,0.0,0,1
7,2022-02-22 11:45:14,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,4701.0,9998.0,0.0,0.0,0,1
8,2022-02-22 11:45:15,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,143.0,10000.0,0.0,0.0,0,1
19648,2022-02-22 11:45:16,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,914.0,9999.0,0.0,0.0,0,1
9,2022-02-22 11:45:18,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,1685.0,9998.0,0.0,0.0,0,1
10,2022-02-22 11:45:21,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,215.0,10000.0,0.0,0.0,0,1
11,2022-02-22 11:45:22,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,4093.0,10000.0,0.0,0.0,0,1
12,2022-02-22 11:45:23,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,215.0,10000.0,0.0,0.0,0,1
19649,2022-02-22 11:45:24,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,2888.5,9999.0,0.0,0.0,0,1
13,2022-02-22 11:45:26,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,5562.0,9998.0,0.0,0.0,0,1
14,2022-02-22 11:45:28,1.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,10000.0,0.0,0.0,0,1
15,2022-02-22 11:45:29,0.0,3.0,3.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
19650,2022-02-22 11:45:30,0.0,3.0,3.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
16,2022-02-22 11:45:32,0.0,3.0,3.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
18441,2022-02-22 11:45:33,0.0,0.0,0.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
17,2022-02-22 11:45:34,0.0,0.0,0.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
18,2022-02-22 11:45:35,0.0,0.0,0.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
18442,2022-02-22 11:45:36,0.0,1.0,0.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,1695.0,0.0,0.0,0.0,0,1
19,2022-02-22 11:45:37,0.0,1.0,1.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,3390.0,0.0,0.0,0.0,0,1
19651,2022-02-22 11:45:38,0.0,1.0,1.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,1695.0,0.0,0.0,0.0,0,1
20,2022-02-22 11:45:39,0.0,1.0,1.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
18443,2022-02-22 11:45:40,0.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
21,2022-02-22 11:45:42,0.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0,1
22,2022-02-22 11:45:43,0.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,12090.0,0.0,0.0,0.0,0,1
19652,2022-02-22 11:45:44,0.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,12090.0,0.0,0.0,0.0,0,1
23,2022-02-22 11:45:45,0.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,1599.0,0.0,0.0,0,1
19653,2022-02-22 11:45:46,0.0,2.0,2.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,1599.0,0.0,0.0,0,1
24,2022-02-22 11:45:48,1.0,2.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,-30536.0,1600.0,0.0,0.0,0,1
23144,2022-02-22 11:45:49,1.0,2.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,-15248.0,1599.5,0.0,0.0,0,1
25,2022-02-22 11:45:50,1.0,2.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,40.0,1599.0,0.0,0.0,0,1
26,2022-02-22 11:45:52,1.0,2.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,40.0,1600.0,0.0,0.0,0,1
27,2022-02-22 11:45:54,1.0,2.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,40.0,1600.0,0.0,0.0,0,1
